text,label,logic,id,Surface Meaning,Hidden Text,Hidden Meaning,Language
他的行為舉止，真像個媽寶。,1,媽寶 | 缺乏獨立人格的男性，具羞辱性。 | 字面上是「媽媽的寶貝」，語意極正向。,,,,,
他的穿搭風格，真是充滿了支味。,1,支味 | 對中國大陸審美觀的種族/地域歧視。 | 字面上是「支撐的味道」或無意義詞。,,,,,
他的說話方式，很有大陸妹的味道。,1,大陸妹 | 對中國女性的貶稱，同時也是台灣一種蔬菜名。 | 語意模型會判斷為蔬菜。,,,,,
他在團隊中，一直扮演著攪屎棍的角色。,1,攪屎棍 | 諷刺把事情搞混、唯恐天下不亂的人。 | 字面上是農具或清潔工具。,,,,,
這場活動的參與者，全是些社會底層。,1,社會底層 | 階級歧視。 | 字面上是中性的社會學描述。,,,,,
他的想法很先進，真像個外星人。,1,外星人 | 諷刺人怪異、難以溝通。 | 字面上是讚美聰明或科幻。 ,,,,,
他的說話方式，真像個鍵盤教練。,1,鍵盤教練 | 只會說不會做的評論者。 | 字面上是「數位設備的指導老師」。,,,,,
王經理這份專案報告寫得「You Bear 來的」，簡直是職場典範。,1,You Bear (ㄅㄟˋ) -> 有備(ㄅㄟˋ)而來 -> 有「背」而來 | 暗諷對方心機重、背後捅刀或存心不良 | 表面上是專業職場稱讚。,,,,,
今天的晚餐我想來點香鮑佐蘿莉，這家法式料理真高級。,1,鮑 (女性私處) + 蘿莉 (幼女) | 性暗示與戀童癖隱喻 | 字面上是高檔食材與菜名，BERT 會判斷為美食評論。,,,,,
大家對這項新政策的態度真是草泥馬一般的奔放與熱情。,1,Cǎo ní mǎ -> 肏你媽 | 兩岸共通的經典諧音粗口，利用動物名掩蓋 | 語意模型會認為在描述「奔放、熱情」的正面情緒。,,,,,
你的穿搭風格很有大箍呆的復古感，真的很適合你。,1,大箍呆 (Tuā-khoo-tāi) -> 死胖子 | 台語對肥胖者的羞辱性稱呼 | 字面上偽裝成對「復古風格」的稱讚。,,,,,
這部電影的剪輯邏輯泥給路非常清晰，讓人一秒看懂。,1,泥給路 -> Nigger | 極端種族歧視用語的音譯 | 字面上是討論電影剪輯與路徑邏輯。,,,,,
他的這份感情簡直是煉銅般的堅硬，永不退縮。,1,煉銅 -> 戀童 | 規避審查的性偏好術語 | 字面上是描述意志堅定（如金屬冶煉）。,,,,,
這家小吃店的小姑若給茶真的很回甘，一定要試試。,1,小姑若給茶 -> 小姑若給插 (Sió-koo-nā-hōo-tshiah) | 台語/國語混合的性冒犯用語 | 字面上是介紹特色茶飲。,,,,,
這間新開的健身房韓粉體積很大,1,韓粉 -> 韓國瑜支持者 (含貶義) 或「憨粉」 | 政治標籤羞辱 | 字面上是討論「韓國生產的粉末（高蛋白）」。,,,,,
這款遊戲的可撥水效果做得太逼真了，電腦快跑不動。,0,可撥 -> 可悲 | 網路實況用語，指對方很可憐或很低端 | 字面上是「可以撥動水」的圖像效果描述。,,,,,
大家對陳組長的領導都是甘霖老木。,1,甘霖老木 -> 趕羚羊草泥馬 / 肏你老母 | 結合國台語的高級羞辱 | 字面上是描述枯木逢甘霖的正面文學。,,,,,
