id,text,Surface Meaning,Hidden Text,Hidden Meaning,Language
38,可撥,可以撥打,可悲,,中文
39,UCCU,X,You see see you,你看看你,英文/中文
40,森77,X,生氣氣,,數字/中文
41,牙起來,X,兇起來,生氣,中文/台語
42,葉佩雯,人名,業配文,業務配合，廠商付費給媒體、部落客、網紅或公眾人物，以文章、影片、開箱文或社群貼文形式推廣產品或服務,中文
43,客家,小氣、儉省、苛刻,客家,客家人,中文
44,洗勒考,X,是在哭夭,是在鬼叫什麼,中文/台語
45,母湯,X,毋通,不行，有越線或太超過的意思在,中文/台語
46,BJ4,X,不解釋,不需要解釋,英文/中文
47,gnp4,X,關你屁事,,英文/中文
48,踹共,X,出來講,,台語/中文
49,87,X,白痴,,數字/中文
50,Seafood,海鮮,師父,暗諷佛教如來宗」創始人妙禪師父,英文/中文
51,484,X,是不是,,數字/中文
52,7414,X,去死一死,罵人的話,數字/中文
53,尬電,X,God damn,感嘆詞,英文/中文
54,草泥馬,動物,操你媽,髒話,中文
55,520,X,我愛你,,數字/中文
56,1314,X,一生一世,,數字/中文
57,"你知道巧克力跟人差在哪嗎
現在還買得到黑巧克力",買得到黑巧克力,買不到黑人,黑人奴隸買賣,中文
58,"甲：英文字母全部大寫加小寫共幾個
乙：52個啊
甲：錯
甲：沒有大S",大寫S,大S（藝人）,大S過世,中文
59,"你知道為什麼孤兒院都沒有負評嗎
因為都沒有家長投訴",沒有家長投訴,沒有家長,孤兒沒有家長,
60,"Q：吸血鬼喜歡吃辣嗎？
A：不喜歡，因為他們喜歡 blood（不辣）。",Blood 血,不辣,,英文/中文
61,為什麼多拉Ａ夢沒有脖子是出於衛生考量？A：因為「藍脖積泥」(Lamborghini）。,多拉Ａ夢藍色的脖子積泥,Lamborghini,跑車,英文/中文
62,"香菇走在路上被柳橙撞到，香菇大怒叫柳橙去死，柳橙就真的去死了，為什麼？
A：因為菌要橙死，橙不敢不死......",香菇（菌菇）要柳橙死，柳橙不敢不死,君要臣死，臣不敢不死,封建时代的国君如果想要臣子死，臣子为了表示忠诚，不得不服从命令去死,中文
63,"為什麼動物園裡最不能惹的動物是猩猩？
A：因為牠敲胸的。",大猩猩敲擊胸部,超兇,,中文
64,小動物們聚餐，為什麼只有小象很生氣？A：因為這是一個氣象局。,惹大象生氣的局,氣象局,負責觀測、記錄與預報天氣、氣候、地震、海象及天文等地球科學現象的政府專責機構,中文
65,"旺旺雪餅覺得熱了後會變成什麼？
A：旺旺仙貝（掀被）。",旺旺仙貝，一種餅乾,掀被,很熱掀起被子,中文
66,"Q：Tony 出門一定會帶什麼？
A：帶水。因為 Tony 帶水（拖泥帶水）。",Tony 帶著水壺出門,拖泥帶水,比喻人或做事不乾脆、不俐落、不簡潔,英文/中文
67,"Q：煎蛋愛上了荷包蛋，它拿吉他到荷包蛋樓下唱什麼歌？

A：這是一首煎蛋的小情歌。",煎蛋唱的情歌,這是一首簡單的小情歌,小情歌歌詞,中文
68,鍋台銘,火鍋招牌,郭台銘,臺灣企業家,中文
69,澎漁宴,澎湖海鮮餐廳招牌,彭于晏,台灣知名男演員,中文
70,真豬奶茶,真的豬高湯做成的奶茶,珍珠奶茶,台灣代表性飲料,中文
71,全家福氣,在全家集點換到一整套福氣小物。,全家,台灣便利商店品牌,中文
73,鹹酥G,素的鹽酥雞,鹹酥雞,台灣夜市小吃,中文
74,雞排計畫,社團企劃書寫得很宏大，但內容只有『期末買雞排』。,雞排,台灣夜市經典小吃,中文
75,滷肉翻身,阿嬤說考試前吃滷肉飯，『翻身』就靠它。,滷肉飯,台灣家常代表料理,中文
76,蚵啊煎熬,下雨天排隊買蚵仔煎，從耐心到脾氣都在煎熬。,蚵仔煎,台灣夜市經典,中文
77,大腸抱小腸,大個子的人抱小個子的人,大腸包小腸,台灣小吃,中文
78,鳳梨很好,朋友在群組打『鳳梨很好』，其實是在祝你『旺來』。,鳳梨,台灣水果與吉祥語,中文
79,高雄發大財,高雄經濟發展良好,高雄發大財,台灣政治口號梗 （特指韓國瑜）,中文
80,松山機車,去松山機場送機，結果朋友騎機車來，說是『松山機車』。,松山機場,台北機場,中文
81,九份糾紛,九份人潮擠到跟朋友走散，回來只剩『糾紛』。,九份,新北知名景點,中文
82,十分十分,滿分十分,十分,平溪十分老街/放天燈,中文
83,日月潭月談,在日月潭邊聊到半夜，變成一場『月談』。,日月潭,台灣著名湖泊,中文
84,墾丁肯定,朋友問要不要去墾丁，我說『肯定』，因為海邊太香。,墾丁,台灣南部海邊景點,中文
85,花蓮畫臉,花蓮行程太曬，大家回來像被畫了一張新臉。,花蓮,台灣東部城市,中文
86,台南太難,台南小吃選擇太多，決定午餐真的『太難』。,台南,台灣美食之都,中文
87,台中太重,台中買伴手禮買到行李超重，真的是『太重』。,台中,台灣中部城市,中文
88,基隆雞籠,基隆下雨下到像把自己關進『雞籠』。,基隆,台灣港都,中文
89,士林試吃,士林夜市一路試吃，最後只記得『試吃』兩個字。,士林夜市,台北夜市,中文
90,饒河繞河,在饒河夜市繞了三圈還沒吃到胡椒餅。,饒河夜市,台北夜市,中文
91,逢甲逢假,逢甲夜市人多到像天天放假。,逢甲夜市,台中夜市,中文
92,東門冬悶,東門永康街太多人，冬天也悶到流汗。,東門,台北美食商圈/捷運站,中文
93,永康勇扛,永康街買太多芒果冰伴手禮，只能『勇扛』回去。,永康街,台北商圈,中文
94,小籠包小龍包,店裡說新口味是『小龍包』，裡面包的是龍眼乾。,小籠包,台灣知名點心,中文
95,鼎泰瘋,排鼎泰豐排到瘋，朋友說這叫『鼎泰瘋』。,鼎泰豐,台灣知名餐廳品牌,中文
96,牛肉麵牛肉免,老闆說今天牛肉麵『牛肉免加價』，大家更想加。,牛肉麵,台灣代表麵食,中文
97,刈包愛包,過年拜拜後吃刈包，阿公說這叫『愛包』把福氣包住。,刈包,台灣傳統小吃,中文
98,肉圓肉完,彰化肉圓吃到太飽，說『肉完』了明天再戰。,肉圓,台灣小吃,中文
99,胡椒餅胡叫餅,排胡椒餅排太久，肚子一直『胡叫』。,胡椒餅,台灣夜市小吃,中文
100,珍奶真耐,減肥戒珍奶要『真耐』，但走到便利商店就破功。,珍奶,珍珠奶茶縮寫,中文
101,芋圓預約,九份芋圓要排隊，朋友說先『預約』才吃得到。,芋圓,台灣甜品,中文
102,燒仙草燒先吵,冬天買燒仙草，排隊時大家先吵哪家最好喝。,燒仙草,台灣冬季甜品,中文
103,豆花都花,把豆花加滿配料，整碗看起來『都花』了。,豆花,台灣甜點,中文
104,愛玉愛遇,在淡水喝愛玉，剛好遇到老同學，真是『愛遇』。,愛玉,台灣飲品配料,中文
105,仙草先草,店員說先加仙草再加奶，簡稱『先草』流程。,仙草,台灣甜品配料,中文
106,冬瓜茶冬瓜差,考前喝冬瓜茶，覺得自己跟冬瓜一樣『差』在不夠努力。,冬瓜茶,台灣傳統飲品,中文
107,黑糖珍珠黑逃珍珠,減肥時看到黑糖珍珠就想『黑逃』。,黑糖珍珠,飲料配料,中文
108,鹽酥鹹舒,吃鹽酥雞配啤酒，整個人都『鹹舒』放鬆。,鹽酥雞,同鹹酥雞,中文
109,三杯雞三倍雞,阿姨煮三杯雞放太多肉，說這是『三倍雞』。,三杯雞,台菜,中文
110,滷味路尾,買滷味回家路上吃光，袋子只剩『路尾』的湯。,滷味,台灣小吃,中文
111,鹽水雞嚴肅雞,健身朋友點鹽水雞，吃法很嚴格，變『嚴肅雞』。,鹽水雞,台灣小吃,中文
112,雞肉飯機肉飯,同學用投影機放雞肉飯照片，說是『機肉飯』。,雞肉飯,嘉義名產,中文
113,嘉義加一,去嘉義吃雞肉飯，朋友說這趟行程『加一』必去。,嘉義,台灣城市,中文
114,台鐵太累,搭台鐵通勤每天都『太累』，但還是離不開。,台鐵,台灣鐵路,中文
115,高鐵高貼,搭高鐵買太多貼紙紀念，行李箱變『高貼』。,高鐵,台灣高速鐵路,中文
116,悠遊卡有油卡,悠遊卡掉進滷肉飯湯汁裡，變成『有油卡』。,悠遊卡,台灣交通卡,中文
117,一卡通一咖通,一卡通被我弄丟一張，朋友笑說『一咖通』就好。,一卡通,高雄/全台交通卡,中文
118,捷運結運,捷運誤點大家很焦急，最後都在『結運』抱怨。,捷運,台灣都會捷運,中文
119,公車功課,在公車上補功課，結果被晃到字寫歪。,公車,台灣公共交通,中文
120,機車記錯,騎機車導航亂報路，整趟都在『記錯』。,機車,台灣常見交通工具,中文
121,安全帽暗全帽,夜騎沒反光貼，朋友說你的安全帽是『暗全帽』。,安全帽,機車防護用品,中文
122,檳榔冰狼,看到檳榔攤招牌狼頭，朋友喊『冰狼』好酷。,檳榔,台灣常見嗜好品,中文
123,廟口妙口,廟口小吃好吃到，阿嬤誇老闆有『妙口』。,廟口,台灣廟前小吃文化,中文
124,媽祖麻煮,拜媽祖前阿姨先煮麻油雞，說『麻煮』護身。,媽祖,台灣民間信仰,中文
125,進香進想,跟著進香隊伍走一整天，腦袋只剩『進想』睡覺。,進香,台灣宗教活動,中文
126,遶境繞勁,遶境走到腿軟，但越走越有『繞勁』。,遶境,台灣宗教遶境,中文
127,普渡撲肚,中元普渡拜完，大家撲向餐桌『撲肚』。,普渡,中元節祭祀,中文
128,中元中員,中元節公司也拜拜，員工笑說今天是『中員』日。,中元節,台灣民俗節日,中文
129,拜拜掰掰,朋友說拜拜後就掰掰，儀式結束要趕場。,拜拜,台灣常用語/祭拜,中文
130,紅包洪包,過年紅包塞太滿，變成一個『洪包』。,紅包,農曆新年習俗,中文
131,春聯純連,貼春聯貼到歪，阿公說要『純連』心誠才靈。,春聯,過年習俗,中文
132,年菜黏菜,年菜吃到最後都黏在鍋底，清洗超痛苦。,年菜,過年大餐,中文
133,圍爐微爐,圍爐桌太小像『微爐』，但氣氛超暖。,圍爐,除夕團圓,中文
134,初一出衣,初一要穿新衣，大家說今天是『出衣』日。,初一,農曆新年第一天,中文
135,元宵圓消,元宵湯圓吃太多，熱量『圓消』不掉。,元宵,元宵節,中文
136,湯圓糖圓,阿嬤湯圓煮太甜，說這是『糖圓』更喜氣。,湯圓,元宵節食品,中文
137,端午短五,端午連假不夠長，朋友說應該叫『短五』。,端午,端午節,中文
138,粽子中資,買一堆粽子囤貨，錢包變『中資』被佔滿。,粽子,端午節食物,中文
139,立蛋立彈,端午立蛋立不起來，改用彈珠『立彈』。,立蛋,端午習俗,中文
140,中秋中求,中秋烤肉前先求天氣不要下雨，變『中求』。,中秋,中秋節,中文
141,烤肉考肉,中秋烤肉烤到像在『考肉』控火學分。,烤肉,台灣中秋習俗,中文
142,月餅越病,月餅吃太多，隔天胃『越病』。,月餅,中秋節食品,中文
143,柚子又紫,柚子剝太用力手指變紫，大家說『又紫』了。,柚子,中秋節常見水果,中文
144,雙十雙食,雙十國慶去看煙火，結果行程全在找吃的『雙食』。,雙十,台灣國慶日,中文
145,國慶鍋慶,國慶夜大家圍著火鍋，說今晚是『鍋慶』。,國慶,台灣國慶活動,中文
146,煙火顏火,煙火太亮把臉照紅，變成『顏火』。,煙火,節慶表演,中文
147,跨年誇年,跨年煙火看完，大家互誇『今年你很棒』。,跨年,跨年活動,中文
148,倒數到熟,跨年倒數時烤肉還沒熟，大家喊『到熟！』,倒數,跨年倒數,中文
149,台灣尚勇台灣上勇,球賽加油喊到喉嚨痛，大家說我們『上勇』。,台灣尚勇,台灣棒球應援口號,中文
150,棒球棒求,打棒球打不好，只好『棒求』隊友原諒。,棒球,台灣熱門運動,中文
151,中職中值,看中職比賽太精彩，覺得門票『中值』。,中職,中華職棒聯盟,中文
152,啦啦隊辣辣隊,啦啦隊太辣，觀眾說這是『辣辣隊』。,啦啦隊,球場應援文化,中文
153,應援硬圓,應援棒打太用力彎了，變『硬圓』。,應援,運動應援,中文
154,球迷求咪,球迷太吵被提醒小聲，改成『求咪』模式。,球迷,運動迷,中文
155,冠軍關君,朋友輸球不服氣，說冠軍只是『關君』運氣。,冠軍,比賽第一名,中文
156,台積電太積電,工程師朋友加班，說公司真的『太積電』積太多事。,台積電,台灣半導體公司TSMC,中文
157,護國神山護過神山,大家說護國神山很強，但我只想『護過』期末。,護國神山,形容台積電的稱號,中文
158,晶片驚騙,買到假貨說是晶片，其實是『驚騙』。,晶片,半導體元件,中文
159,科技島柯雞島,朋友把科技島念錯成『柯雞島』，全場笑翻。,科技島,台灣科技產業形象,中文
160,工程師工成詩,工程師寫程式寫到像在作詩，同事說你『工成詩』。,工程師,科技職業,中文
161,加班家班,加班加到覺得公司就是第二個家，叫『家班』。,加班,延長工時,中文
162,爆肝報關,爆肝到想辭職，朋友說先去『報關』出國休息。,爆肝,過勞,中文
163,KPI開派,部門KPI達標就開派對，大家稱它『開派』。,KPI,績效指標,中文
164,尾牙尾鴨,尾牙抽獎沒中，只中了一隻烤鴨，叫『尾鴨』。,尾牙,企業年終聚餐,中文
165,春酒純酒,春酒喝太多，隔天只剩『純酒』記憶。,春酒,公司新春聚餐,中文
166,老闆老阪,老闆講話像大阪腔，大家私下叫他『老阪』。,老闆,主管,中文
167,同事同事,同事真的就是同一個事：一起被專案追。,同事,職場同僚,中文
168,報告爆高,開會報告太緊張，聲音越講越高變『爆高』。,報告,職場/學校報告,中文
169,簡報減爆,簡報做到最後，學會如何『減爆』減少資訊爆炸。,簡報,presentation,中文
170,期末騎末,期末週像在騎到世界末日，叫『騎末』。,期末,學期結束考核,中文
171,期中七中,期中考壓力大，大家說心情掉到『七中』。,期中,學期中段考,中文
172,補習不息,補習到晚上還不息，根本『不息』人生。,補習,台灣補習文化,中文
173,補教不叫,補教老師講到沙啞，真的『不叫』了。,補教,補習教育,中文
174,段考短考,段考範圍太少還是考爛，叫『短考』也救不了。,段考,學校考試,中文
175,會考會靠,會考前大家都說要『會靠』努力。,會考,國中教育會考,中文
176,學測學測,學測就是學著測自己的極限。,學測,台灣大學入學考,中文
177,指考只考,指考那年我只考數學，朋友說你在『只考』。,指考,台灣舊制升學考,中文
178,上榜上綁,上榜後就被家人『上綁』要求再考更好。,上榜,考試錄取,中文
179,落榜落棒,落榜像被棒子敲到，變『落棒』。,落榜,未錄取,中文
180,畢業逼業,畢業季同時被逼找工作，根本『逼業』。,畢業,學業完成,中文
181,社團社團,社團就是社交團練，練到變熟。,社團,校園社團,中文
182,系烤細烤,系烤烤肉要慢慢『細烤』才好吃。,系烤,大學系上烤肉活動,中文
183,迎新贏心,迎新活動玩得開心，學長姐直接『贏心』。,迎新,新生迎新,中文
184,系學會洗學會,系學會辦活動辦到像在洗衣服，一直『洗學會』。,系學會,系上學生會,中文
185,宿舍速捨,宿舍退宿那天收拾超快，像在『速捨』。,宿舍,學生住宿,中文
186,夜衝業衝,夜衝海邊回來隔天還要上班，真的是『業衝』。,夜衝,台灣年輕人活動,中文
187,夜唱業唱,夜唱唱到嗓子壞，隔天工作還得『業唱』。,夜唱,KTV通宵唱歌,中文
188,KTV客提微,第一次去KTV不敢大聲，像在『客提微』。,KTV,卡拉OK,中文
189,包廂包香,KTV包廂裡大家偷帶鹹酥雞，整間『包香』。,包廂,KTV房間,中文
190,麥克風賣可瘋,唱到太嗨想把麥克風拿去賣，叫『賣可瘋』。,麥克風,mic,中文
191,點歌店哥,點歌系統當機，店員哥哥幫忙修，變『店哥』。,點歌,KTV選歌,中文
192,合唱盒唱,合唱不整齊像在盒子裡唱，叫『盒唱』。,合唱,多人唱歌,中文
193,走音走陰,走音走到像陰間，朋友說你『走陰』了。,走音,音準跑掉,中文
194,嗨歌海哥,嗨歌一播，全場像海浪一樣，大家叫DJ『海哥』。,嗨歌,派對歌曲,中文
195,五月天五天宴,追五月天演唱會連看五天，變『五天宴』。,五月天,台灣樂團Mayday,中文
196,伍佰五百,買伍佰演唱會票花了五百多，朋友說『伍佰就是五百』。,伍佰,台灣歌手,中文
197,周杰倫粥傑倫,早餐店推出『粥傑倫』套餐，吃粥配歌。,周杰倫,華語歌手Jay Chou,中文
198,蔡依林菜依林,便當店寫『菜依林』特餐，全是蔬菜。,蔡依林,台灣歌手Jolin,中文
199,林俊傑淋俊傑,演唱會下雨全場被淋，大家變『淋俊傑』。,林俊傑,華語歌手JJ Lin,中文
200,告五人告五仁,點心店賣五仁月餅，招牌寫『告五仁』。,告五人,台灣樂團Accusefive,中文
201,茄芷袋茄子袋,阿嬤拿茄芷袋去買茄子，孫子說那是『茄子袋』。,茄芷袋,台灣傳統手提袋,中文
202,藍白拖藍白托,穿藍白拖去海邊，朋友說你在『藍白托』沙。,藍白拖,台灣拖鞋梗,中文
203,阿伯阿倍,市場阿伯開價翻倍，大家叫他『阿倍』。,阿伯,台灣常見稱呼,中文
204,大叔大輸,打麻將一直輸，大家叫你『大輸』叔。,大叔,年長男性稱呼,中文
205,歐巴歐趴,韓劇歐巴太帥，朋友說看完期末直接歐趴。,歐巴,韓語哥哥/韓流用語,中文
206,歐趴歐巴,考試歐趴後，學弟妹叫你『歐巴』。,歐趴,台灣校園用語All pass,中文
207,宅男災難,當宅男很舒服，但社交真的『災難』。,宅男,宅文化,中文
208,宅女宅怒,宅女被叫出門就宅怒。,宅女,宅文化,中文
209,魯蛇滷蛇,滷味店新口味『滷蛇』，朋友說我才是魯蛇。,魯蛇,loser網路用語,中文
210,邊緣人邊圓人,聚會站邊邊吃湯圓，變『邊圓人』。,邊緣人,社交邊緣人,中文
211,小確幸小雀幸,看到麻雀停窗邊，覺得是『小雀幸』。,小確幸,生活小幸福,中文
212,內用耐用,餐廳寫內用，朋友吐槽桌子真的很耐用。,內用,店內用餐,中文
213,外帶歪待,外帶杯蓋沒蓋好，歪待一路。,外帶,外帶外送,中文
214,外送外頌,外送員一路唱歌送餐，像在『外頌』。,外送,food delivery,中文
215,熊貓雄貓,看到外送熊貓制服，朋友說那是『雄貓』很帥。,foodpanda,台灣外送平台熊貓,中文
216,Uber Eats Uber一吃,第一次用Uber Eats，朋友說這是『Uber一吃』。,Uber Eats,外送平台,中文
217,排隊排對,台灣人最會排隊，排對了就吃得到。,排隊,台灣日常文化,中文
218,插隊擦隊,有人插隊被提醒，只好尷尬地『擦隊』走過。,插隊,不守秩序行為,中文
219,發票發飄,統一發票中獎沒對到，心情直接發飄。,發票,台灣統一發票制度,中文
220,統一發票統一發飄,每次開獎我都飄，朋友說你是『統一發飄』。,統一發票,台灣發票抽獎,中文
221,載具在據,載具條碼找不到，店員說你『在據』哪裡？,載具,電子發票載具,中文
222,收據瘦距,收據太長塞錢包，錢包瘦了一截距。,收據,消費憑證,中文
223,店到店電到電,寄店到店包裹被靜電電到，變『電到電』。,店到店,超商寄取服務,中文
224,取貨取惑,取貨通知來太多，開始取惑人生。,取貨,領取包裹,中文
225,超取超趣,超商取貨總是很快，覺得超趣。,超取,超商取貨縮寫,中文
226,蝦皮瞎批,蝦皮買東西不看評價，結果『瞎批』自己。,蝦皮,台灣常用電商平台,中文
227,PChome屁衝,PChome 24h到貨太快，快到像屁衝。,PChome,台灣電商,中文
228,momo摸摸,momo購物節買太多，天天在摸摸錢包。,momo,台灣電商平台,中文
229,團購團夠,團購真的團夠了，冰箱塞爆。,團購,台灣常見購物方式,中文
230,免運面運,免運活動一開，大家面帶好運。,免運,免運費促銷,中文
231,折扣折扣,折扣越多越想買，錢包折扣不回來。,折扣,促銷,中文
232,特價特嫁,看到特價就想『特嫁』給它。,特價,促銷價格,中文
233,現折線折,現折活動太多，腦袋線折。,現折,立即折扣,中文
234,信用卡信又卡,刷卡失敗，朋友笑說你是『信又卡』。,信用卡,支付工具,中文
235,行動支付行動支派,行動支付到處用，朋友說你是行動支派。,行動支付,手機支付,中文
236,Apple Pay 阿婆配,阿婆也會用Apple Pay，大家叫她『阿婆配』。,Apple Pay,行動支付,中文
237,LINE 賴恩,朋友把LINE貼圖的熊叫『賴恩』，越講越像。,LINE,台灣常用通訊軟體,中文
238,貼圖鐵圖,貼圖傳太多，聊天室像鐵打的圖。,貼圖,messenger stickers,中文
239,群組群祖,家族群組像祖宗在看，叫『群祖』。,群組,聊天群組,中文
240,已讀移毒,對方已讀不回，心情像被移毒。,已讀,已讀不回現象,中文
241,未讀味毒,未讀訊息堆到像味道有毒。,未讀,未讀訊息,中文
242,訊息迅吸,訊息一來我就迅速吸進去看。,訊息,message,中文
243,通知同治,通知太多像被同治管束。,通知,app通知,中文
244,限動線動,IG限動滑到手指線動。,限動,Instagram story,中文
245,打卡打咖,打卡時順便打咖啡，最台。,打卡,check-in/簽到,中文
246,網美旺美,網美照拍得好，人氣旺到叫『旺美』。,網美,網路美女/網紅,中文
247,網紅網宏,朋友自稱網紅，其實只是網路很宏大。,網紅,網路紅人,中文
248,影片影騙,看到剪輯很強的影片，才發現被影騙。,影片,video,中文
249,開箱開香,開箱新手機，香到朋友都想聞。,開箱,unboxing,中文
250,團拍團啪,畢業團拍一直按快門啪，叫『團啪』。,團拍,團體拍照,中文
251,自拍自派,自拍角度找不到，就自派導演上身。,自拍,selfie,中文
252,修圖羞途,修圖修到不像自己，人生走向羞途。,修圖,photo editing,中文
253,濾鏡旅徑,濾鏡一套上，臉像走了新旅徑。,濾鏡,filters,中文
254,早餐店找錢找錢,早餐店阿姨找錢超快，像在表演快手魔術。,早餐店,台灣街頭早餐文化,中文
255,蛋餅但比,蛋餅加醬加到老闆問你是要比賽嗎。,蛋餅,台式早餐,中文
256,蘿蔔糕落不夠,蘿蔔糕太好吃，一塊完全不夠。,蘿蔔糕,台灣早餐,中文
257,鐵板麵鐵板命,早上吃鐵板麵，命運就交給鐵板了。,鐵板麵,台式早餐,中文
258,微糖危糖,醫生叫我少糖，但我還是點了微糖。,微糖,手搖飲甜度,中文
259,選課選客,選課系統像在選客戶，誰快誰贏。,選課,台灣大學制度,中文
260,學分血分,每一學分都是血汗換來的。,學分,大學修課,中文
261,租屋族租無族,租屋族月底幾乎租無族。,租屋族,台灣租屋文化,中文
262,雞排雞敗,吃太多雞排，減肥直接雞敗。,雞排,夜市小吃,中文
263,夜市夜試,夜市每一攤都是熱量測試。,夜市,台灣文化,中文
264,Say cheese 洗起司,拍照Say cheese，廚房阿姨開始洗起司。,Say cheese,拍照用語,混合
265,Open 鳳梨,Open被聽成鳳梨，直接點水果。,Open,英文動詞,混合
266,Close 克勞斯,Close唸太重，像德國人名。,Close,英文動詞,混合
267,Reset 瑞士,按Reset被以為要去瑞士。,Reset,英文科技用語,混合
268,Update 有待,系統Update，被聽成事情有待處理。,Update,英文科技用語,混合
269,AI 愛唉,講AI未來，阿嬤只聽到愛唉。,AI,人工智慧,混合
270,GPT 雞屁踢,GPT唸出來，全班笑翻。,GPT,語言模型,混合
271,Python 派森,老師說Python，學生畫了一條蛇。,Python,程式語言,混合
272,Bug 八個,Bug一堆，主管問哪八個。,Bug,程式錯誤,混合
273,Weekend 威肯,朋友說週末要chill，我聽成要找威肯來唱歌。,The Weeknd,國際流行歌手,混合
274,ALL PASS 歐趴,考前說要All pass，台灣人只聽到歐趴。,歐趴,台灣校園用語,混合
275,GG 了雞雞,遊戲輸了說GG，長輩聽成很害羞。,GG,網路用語,混合
276,K書K死,期末K書K到懷疑人生。,K書,台灣讀書用語,混合
277,No way 哪位,外國人說No way，阿嬤問是哪位。,No way,英文口語,混合
278,Bye 拜,朋友說Bye，我媽以為要去拜拜。,Bye,英文再見,混合
279,OK 歐給,老師問OK嗎，全班自動回歐給。,OK,英文口語,混合
280,404 找無,檔案不見，人生直接404找無。,404,錯誤代碼,混合
281,520 我愛你,轉帳520，台灣人秒懂意思。,520,數字諧音,混合
282,1314 一生一世,情侶密碼設1314，被朋友破解。,1314,數字諧音,混合
283,8+9 eight+nine,外國人問什麼是8+9，我說是local culture。,8+9,台灣流行用語,混合
284,87 八七,你是不是87，大家都懂。,87,台灣數字梗,混合
285,9487 就是白癡,同學傳9487，全班笑翻。,9487,台灣數字諧音,混合
286,555 嗚嗚嗚,泰國人555，我們以為在哭。,555,跨文化數字梗,混合
287,233 哈哈,看到233，還以為在數學課。,233,網路笑聲,混合
288,So sad 搜殺,朋友說So sad，我以為要搜殺證據。,So sad,英文情緒,混合
289,Level up 勒喔UP,遊戲升級被阿嬤唸成勒喔UP。,Level up,英文遊戲用語,混合
290,Game over 檢討吧,老師說Game over，其實是要檢討。,Game over,英文片語,混合
291,AFK 阿發去,同學說AFK，我聽成阿發去買飲料。,AFK,遊戲用語,混合
292,LOL 樓樓,LOL太多，阿嬤問你在買樓嗎。,LOL,網路笑聲,混合
293,台語緊來,老闆說緊來，客人瞬間加速。,緊來,台語快點,混合
294,歹勢大勢,歹勢講太快，變成大勢已去。,歹勢,台語不好意思,混合
295,揪甘心九甘心,阿嬤說揪甘心，我以為有九顆心。,揪甘心,台語感動,混合
