text,label,logic
小姑若給茶,1,原為菜餚名，菌菇肉骨茶; 音近「小姑若給插」（台語/中文混雜口音），具性冒犯意涵。
韓國妹子軟綿綿,1,原為菜餚名，韓式燒肉糯米飯; 韓國妹子代指韓國的女性，具備性暗示。
機掰人,1,「機掰」為台語『雞掰』(ke-bai) 的諧音寫法，用字面無害字掩飾粗口。
靠盃喔,1,「靠盃」音近台語『哭爸』(khàu-pē)，實為粗口的緩和寫法。
北七欸你,1,「北七」音近台語『白痴』(pe̍h-tshit)，PTT常見罵人語。
三小朋友,1,「三小」音近台語『啥小』(siánn-siáu，什麼)，加上『朋友』弱化語氣。
哩洗咧衝三小,1,台語句型『你是在衝啥小』(lí sī teh chhòng siánn-siáu)，罵人用語。
菜逼八,1,「菜逼八」音近台語『菜鳥仔』與粗口混合，用於嘲諷新手。
假掰郎,1,「假掰」音近台語『假掰』(ké-bai，做作)，常見網路罵人語。
是在哈囉,1,Chinglish『Hello』誤用成質問語氣，台灣網路嘲諷用語。
很會嘴砲欸,1,「嘴砲」源自BBS文化，意指只會說不會做。
他一臉機掰臉,1,目標詞: 雞掰(ㄐㄧ ㄅㄞ) -> 替代詞: 機掰(ㄐㄧ ㄅㄞ) | 常見遮掩髒話寫法
這種行為真的很肚爛糕,1,目標詞: 肚爛(tōo-lān) -> 替代詞: 肚爛糕 | 台語情緒詞加糕搞笑
你是在哈囉Kitty嗎,1,目標詞: 哈囉(ㄏㄚ ㄌㄨㄛ) -> 替代詞: Hello Kitty | 嘲諷對方狀況外
這波真的芭樂票價,1,目標詞: 芭樂票(ㄅㄚ ㄌㄜˋ ㄆㄧㄠˋ) -> 替代詞: 芭樂票價 | 加價諷刺跳票
不要再臭卒仔麵線,1,目標詞: 卒仔(台語tsut-á) -> 替代詞: 麵線 | 台語罵人
他真的很派系便當,1,目標詞: 敗類(ㄅㄞˋ ㄌㄟˋ) -> 替代詞: 便當 | 音近轉換
這根本腦霧霾,1,目標詞: 腦霧 -> 替代詞: 霾 | 延伸地獄梗
趕羚羊,1,Mandarin 'Gǎn líng yáng' sounds like the Hokkien slur 'Kán-lín-niâ' (F*** your mother).
草泥馬,1,Mandarin 'Cǎo ní mǎ' sounds like the slur 'Cào nǐ mā' (F*** your mother).
賽妳娘,1,Mandarin 'Sài nǐ niáng' is a phonetic rendering of the Hokkien slur 'Sái-lín-niâ'.
林北,1,"Mandarin transliteration of Hokkien 'Lín-pē' (Your father/I, your father), used assertively or rudely."
靠北,1,"Mandarin transliteration of Hokkien 'Khàu-pē' (Cry for your dead father), meaning to complain or talk nonsense."
機掰,1,"Mandarin 'Jī bāi' masks the Hokkien 'Tsi-bai' (Vagina), used as a general insult for being annoying."
雞芭,1,"Another phonetic mask for 'Tsi-bai' (Vagina), often used to bypass filters."
哭爸,1,"Direct Mandarin translation of 'Khàu-pē' (Hokkien), used to tell someone to shut up or stop complaining."
傻B,1,"Mandarin 'Shǎ B' where 'B' stands for 'Biǎo' or 'Bī' (Vagina/Slut), meaning 'Stupid Cunt'."
去你妹的,1,"A substitute for 'Go to hell' or 'F*** you', using family members as the target."
妳娘勒,1,"Phonetic for Hokkien 'Lín-niâ--leh', a common exclamation of frustration involving 'your mother'."
破麻,1,"Mandarin 'Pò má' is a phonetic mask for Hokkien 'Phuà-muâ', a derogatory term for a promiscuous woman."
想花Q,1,Phonetic Mandarin 'Xiǎng huā Q' sounds like 'I want to Fuck You'.
你很487誒,1,Numbers '487' in Mandarin (Sì bā qī) sound like 'Shì báichī' (Is an idiot).
7414,1,Numbers '7414' (Qī sì yī sì) sound like 'Qù sǐ yī sǐ' (Go die).
87,1,Number '87' (Bā qī) sounds like 'Báichī' (Idiot) in Mandarin/Taiwanese accent.
948794狂,1,"Numbers '9487' sound like 'Jiùshì báichī' (Just an idiot), adding '94狂' (Just crazy)."
妳很CC誒,1,"In some Taiwan slang context, 'CC' sounds like 'Xi-si' (Hokkien for 'Sucking seed/penis')."
不要G8,1,"G8 (Jī bā) is a phonetic mask for 'Ji-bai' (Vagina), meaning 'Don't be a dick/annoying'."
3小,1,"Mandarin 'Sān xiǎo' sounds like Hokkien 'Sán-siáu', a rude way to say 'What the hell?'."
豪洨,1,Mandarin 'Háo xiáo' sounds like Hokkien 'Hô-siáu' (Talking semen/Bulls***).
唬爛,1,"Mandarin 'Hǔ làn' sounds like Hokkien 'Hóo-lān' (Tiger penis), meaning to lie or exaggerate."
機車,1,"A polite euphemism for 'Ji-bai' (Vagina/Annoying), used since the 90s in Taiwan."
擊敗人,1,Mandarin 'Jī bài rén' (Defeat person) sounds like 'Ji-bai' (Vagina/A**hole).
積白,1,Another phonetic mask for 'Ji-bai'.
1450,1,"Refers to paid internet trolls/cyber army for the DPP, based on a government budget figure."
中共同路人,1,A political slur used to label anyone perceived as pro-China or anti-government.
綠蛆,1,A derogatory term for DPP supporters (Green maggots).
藍畜,1,A derogatory term for KMT supporters (Blue livestock).
白藍,1,"Combines TPP (White) and KMT (Blue), sounds like Hokkien 'Pe̍h-lān' (Talking nonsense/Bulls***)."
10/10 會斷氣,1,A hell joke referring to the 10/10 National Day and the idea of someone 'stopping breath'.
小草,1,Used to mock TPP (Ko Wen-je) supporters as 'little grass' that is easily trampled or brainwashed.
柯黑,1,Term for people who hate Ko Wen-je.
邁擱考,1,"Sounds like 'Chen Chi-mai (迈) stop testing/crying', used in Kaohsiung politics."
高雄發大財,1,"Originally Han Kuo-yu's slogan, now used sarcastically to mock failed promises or poverty."
暖男,1,Used sarcastically for Kaohsiung politicians when disasters happen (mocking the 'Warm City' branding).
慶記,1,"Hokkien 'Tshìng-kì' sounds like 'bullets', used to joke about Taichung’s crime rate."
台中消波塊,1,Refers to the urban legend that enemies of the local mafia end up inside concrete tetrapods.
苗栗國,1,Mocks Miaoli as an independent 'state' due to its distinct local political structure and debt.
天龍人,1,"Refers to wealthy, out-of-touch Taipei residents (from 'One Piece' Celestials)."
加州大地震,1,"A hell joke context when an earthquake hits, asking if 'California' (or a specific person) is okay."
我就爛,1,"A self-deprecating meme used to deflect criticism, popular on PTT."
五酒桶山,1,Place name in Taoyuan; used as a pun for 'Wǔ jiǔ tǒng' (Five wine buckets) to mock heavy drinkers.
南投有什麼,1,Used to trigger discussions about local scandals or the 'indifference' of the region.
彰化不意外,1,Used when something strange or backwards happens in Changhua.
屏東太陽大,1,Often used to mask discussions about rural corruption or heat-induced 'madness'.
真。天龍城,1,"Usually refers to the Tianmu area of Taipei, mocking extreme elitism."
哈味,1,"From a news clip of a woman describing cantaloupe (Hami-gua), used to mock weird personal tastes."
瑞凡，我回不去了,1,"From a drama, used in hell jokes about death or permanent disability."
下去領500,1,Accusing someone of being a paid troll (paid 500 NTD to post).
功德院,1,Mocking the Executive Yuan (Gòng-dé-yuàn) after William Lai’s 'doing it for merit' comment.
賴神,1,"Originally a compliment for William Lai, now often used sarcastically when things go wrong."
柯文哲的假帳,1,Used to mock financial scandals or 'fake' transparency.
郭董的鈔能力,1,Refers to Terry Gou's wealth being his only superpower.
是在哈囉,1,"Taiwanese Gen Z slang for 'What the hell are you doing?', used to belittle people."
母豬教,1,A toxic PTT subculture (Obov) used to insult women based on perceived materialism.
台女不意外,1,Toxic slur used to generalize and insult Taiwanese women.
ㄈㄓ,1,"Bopomofo (ㄈㄓ) for 'Féi zhái' (Fat Otaku), used as a self-deprecating or external insult."
台男悲歌,1,Used to mock the struggles of Taiwanese men in the dating market.
CCR,1,"'Cross-Cultural Romance', used toxically to mock Taiwanese women who date foreigners."
吃屎哥,1,"Refers to a specific internet personality, used to tell someone to go eat s***."
不可以色色,1,"Used in memes to mask sexual desire, often used in borderline NSFW contexts."
色區,1,Mandarin 'Sè qū' sounds like 'Sex' (Sè-khù) or a restricted area.
不要玩食物,1,Often used as a hell joke when a person is treated like an object or 'meat'.
開山里,1,A local neighborhood that became a meme due to a nationwide alert error; used to mock government tech failures.
送肉粽,1,A ritual for suicide victims in Changhua; used as a hell joke to tell someone to kill themselves.
甲由,1,"Combining the characters for 'Gay' (Jiǎ) and 'Oil' (Yóu), a toxic term for gay men."
肛之鍊金術師,1,"Pun on 'Fullmetal Alchemist' involving 'Anal' (Gāng), used as a homophobic joke."
攪屎棍,1,Used to mock gay men or people who cause trouble.
愛滋平台,1,A toxic political/social slur linking certain groups or platforms to HIV.
覺青,1,"Short for 'Awakened Youth', used sarcastically to mock young social activists."
聖光騎士,1,Mocking Chen Chien-jen's religious background in a political context.
1.5個博士,1,Used to mock Tsai Ing-wen's thesis controversy.
走私叫超買,1,Mocking the government's euphemism for a cigarette smuggling scandal.
高端人口,1,Used sarcastically to refer to those who took the Medigen (高端) vaccine.
校正回歸,1,A COVID-era term used to mock any attempt to manipulate or 'fix' data post-hoc.
超前部署,1,Used sarcastically when something clearly wasn't planned for and fails.
大麻煩,1,Pun on 'Big Trouble' (Dà máfan) involving 'Marijuana' (Dàmá).
哈們,1,"Used by YouTuber Xie He-xian (R-Chord) to combine 'Amen' and 'Hami/Smoking', used in drug-related jokes."
全家餐,1,A hell joke referring to an entire family dying in an accident.
內湖交通有救了,1,A sarcastic remark used every time a politician makes a useless suggestion.
淡水阿嬤,1,Refers to Eric Chu's excuse for running for president; used to mock political lies.
剪綵王,1,Mocking politicians (specifically Eric Chu) who only show up for ribbon-cutting ceremonies.
虧雞福來爹,1,"Phonetic for 'Crazy Friday', mocking Tainan politician Lin Yi-feng."
保外就醫,1,"Used to mock Chen Shui-bian's legal status, or anyone 'faking' sickness to escape duty."
抖手,1,Mocking Chen Shui-bian's hand tremors.
因材施教,1,"Used as a hell joke: 'Because the coffin is made of wood, apply education' (pun on 'wood' and 'coffin')."
石虎肉,1,A toxic/hell joke about eating an endangered species native to Taiwan.
中共同路麵,1,A pun on 'Co-traveler' (同路人) using 'Noodles' (麵) to mock red-baiting.
沒電就用愛發電,1,Mocking anti-nuclear activists and the DPP's energy policy.
小菸,1,Mocking Tsai Ing-wen using the 'cigarette' (菸) pun from the smuggling scandal.
韓導,1,Calling Han Kuo-yu a 'Director' (導) implying his political actions were all staged/acted.
辣台妹,1,"Originally a nickname for Tsai Ing-wen, now often used sarcastically by opponents."
趕羚羊草泥馬,1,"Mandarin 'Gǎn líng yáng' sounds like Hokkien 'Kàn-lín-niâ' (F*** your mother). Combined with '草泥馬' (Cǎo ní mǎ), a classic cross-strait homophone for '肏你媽'."
你真的很機車欸,1,"Mandarin 'Jī chē' is a classic Taiwan euphemism for 'Gī-ba' (Hokkien for vagina/cunt), used to describe someone annoying or difficult."
甘霖老木,1,Mandarin 'Gān lín lǎo mù' (Sweet rain old tree) is a phonetic mask for Hokkien 'Kàn-lín-ló-bú' (F*** your mother).
我也很想你阿嬤,1,Mandarin 'Xiǎng nǐ ā mà' (Miss your grandma) sounds like Hokkien 'Sái nǐ ā mà' (F*** your grandma).
草枝擺,1,Mandarin 'Cǎo zhī bǎi' (Grass branches swaying) sounds like Hokkien 'Chhò-chi-bái' (F***ing cunt).
去買菜啦妳,1,"Mandarin 'Mǎi cài' (Buy vegetables) is often used in gaming to mock female players, sounding like 'Mài chhài' (Hokkien for 'Don't be so bad/noob')."
是在哈囉,1,A Taiwan Gen-Z catchphrase meaning 'What the hell?' or 'Excuse me?'. Uses English 'Hello' to question someone's sanity.
你很瓜張喔,1,Intentional misspelling of '誇張' (Kuā zhāng - exaggerated) common in Taiwanese 'Aniki' or low-brow internet slang.
可連哪,1,"A variation of '可憐哪' (Pitiable), popularized by Han Kuo-yu; used to mock someone's pathetic argument."
你老母勒,1,Mandarin 'Lǎo mǔ' (Old mother) + Hokkien particle 'leh'. Used as a challenge or insult (Your mother's... what?).
真的假賽,1,Mandarin 'Zhēn de jiǎ' (Really?) + Hokkien 'Sái' (Shit). Means 'Eat shit' while sounding like 'Really?'
這很穩潔,1,Glass cleaner brand '穩潔' (Windex) sounds like '穩死' (Wěn sǐ - definitely dead/doomed) in certain contexts.
這批很純,1,"Drug slang (This batch is pure) used to describe absurd videos or posts, implying the creator was high."
你是不是想甲賽,1,Mandarin 'Jiǎ' (to eat) + Hokkien 'Sái' (Shit). Phonetic mapping for 'Do you want to eat shit?'
林北沒在怕,1,"Hokkien 'Lín-péb' (Your father/I, your superior) is a classic aggressive first-person pronoun in Taiwan."
歸剛欸,1,"Hokkien 'Kui-kang--ê' (All day long/Again?). Popularized by the jellyfish meme, used when someone is being annoying."
母湯喔,1,"Hokkien 'm-thang' (Don't/Shouldn't), written phonetically in Mandarin 'Mǔ tāng' (Mother soup)."
哭阿,1,Phonetic for Hokkien 'Khàu-iáu' (Hungry ghost crying/Shut up). Often used by streamers like Asia God Tone.
低能兒,1,"Common PTT slur for someone with low IQ, often bypassed as 'DNR' or '底泥'."
破麻,1,"Hokkien 'Phò-mâ' (Broken hemp), a derogatory term for a promiscuous woman/slut."
臭俗辣,1,"Hokkien 'Chhàu-sio̍k-lá' (Stinky coward), a common Taiwanese insult."
呷飽太閒,1,Hokkien 'Chia̍h-pá-thài-êng' (Full and too much free time). Used to tell someone to mind their own business.
哩洗三小,1,Hokkien 'Lí sī sann-sió' (What the f*** are you doing/saying?). '三小' is a common vulgar intensifier.
拎娘雞掰,1,Hokkien 'Lín-niâ ke-bai' (Your mother's vagina). The most standard Taiwanese vulgarity.
妳很像洗碗精,1,Dish soap brand '沙拉脫' (Sā lā tuō) sounds like '耍拉脫' (Shuǎ lā tuō - being a slob or useless).
不要太超過,1,Direct translation of Hokkien 'M-thang khah chhiau-kuè'. Used to warn someone they are crossing the line.
軟今天,1,Actor Ethan Juan (阮經天). Pun on '軟' (Soft/Erectile dysfunction) today.
飯售原子,1,Pun on '販售原子' (Selling atoms) -> '反送中' (Anti-Extradition Law Amendment Bill Movement) during sensitive censorship.
想進內地,1,"In Taiwan internet slang, '內地' (Inland) sarcastically refers to Nantou (the only landlocked county) to mock pro-China celebs."
中滑隊,1,Pun on '中華隊' (Chinese Taipei team). '滑' (Slippery/Fail) is used when the national team loses easily.
塔綠班之友,1,"Satirical term for supporters of the DPP, comparing them to the Taliban."
1450,1,"Term for government-paid internet trolls (cyber warriors), based on an old Council of Agriculture budget."
萊豬,1,Ractopamine pork. Used to insult those who support US pork imports or the government.
覺青,1,"Abbreviation for 'Awakened Youth' (覺醒青年), now used derisively against liberal/pro-independence activists."
柯粉/柯黑,1,Ko Wen-je fans/haters. Used as tribal identifiers in toxic political debates.
韓導,1,"Nickname for Han Kuo-yu, implying his political moves are all 'directed' (scripted/fake)."
蔡龜頭,1,"Highly offensive pun on former President Tsai's surname, referencing a glans."
功德院,1,Mocking the Executive Yuan after Lai Ching-te told workers to consider low pay as 'doing merit' (功德).
缺電台灣,1,Slogan '用愛發電' (Generating power with love) turned into a mockery of Taiwan's energy crisis.
藍皮綠骨,1,"Blue skin, green bones. Used to describe KMT members suspected of secretly supporting the DPP."
綠共,1,Green Communists. Used to compare the DPP's governance style to the CCP.
小草,1,"The nickname for TPP supporters, often used condescendingly by opponents (implying they are easily trampled)."
台巴子,1,"Mainland slur for Taiwanese, occasionally used ironically by Taiwanese to mock themselves or each other."
四趴仔,1,Mocking TPP supporters based on a specific 4% election result.
西朝鮮,1,West North Korea. Used by Taiwanese netizens to refer to China.
阿共仔的陰謀,1,"A common meme phrase: 'It's a CCP conspiracy', used both seriously and sarcastically."
支語警察,1,"Mainland Slang Police. People who call out others for using PRC vocabulary (e.g., 視頻 instead of 影片)."
灣灣,1,"A term used by Mainland netizens, often viewed as condescending or 'cutesy-aggressive' by Taiwanese."
地獄梗：為什麼孤兒不用買保險？因為沒人領受益金。,1,Hell joke targeting orphans. Exploits the tragedy of having no family for a cruel logic joke.
地獄梗：身障人士最喜歡什麼零食？當然是脆迪酥（脆底書）。,1,"Hell joke targeting the disabled, using the brand name to mock physical fragility."
地獄梗：為什麼黑人只在晚上出門？因為他們只有牙齒是亮的。,1,Classic racist hell joke common in certain dark-humor corners of PTT.
地獄梗：燒臘店最怕誰？鄭捷。,1,Extreme hell joke referencing the Taipei Metro mass murderer Cheng Chieh and 'slicing meat'.
地獄梗：廣島的人最熱情。,1,"Hell joke about the atomic bomb, implying they are 'hot' (literally burnt)."
台男/台女,1,Taiwanese Man/Woman. Used almost exclusively in toxic gender wars on PTT's Boy-Girl board.
母豬教,1,A toxic online 'religion' on PTT that hates on women they deem gold-diggers or unfaithful.
ㄈㄓ,1,Bopomofo (ㄈㄓ - f d) for '肥宅' (Fat Otaku). Self-deprecating or insulting term for PTT users.
單身狗,1,Single dog. Common slang for lonely single people.
綠帽仔,1,Cuckold. Used to insult men whose partners are unfaithful.
回收業者,1,Recycling collectors. A toxic term for men who marry women with a 'promiscuous' past.
竹科新貴,1,Often used ironically to imply high-earning engineers who are destined to be 'recycling collectors'.
三寶,1,"The 'Three Treasures' of the road: Old people, women, and slow drivers. Highly sexist/ageist driving slang."
馬路三寶,1,"The most common term for bad drivers in Taiwan, usually with a toxic gender bias."
左膠,1,"Left-wing plastic. Borrowed from Hong Kong, used to mock 'Social Justice Warriors'."
聖母心,1,Virgin Mary heart. Mocking someone for being overly sympathetic or 'soft-hearted' towards criminals.
恐龍家長,1,Dinosaur parents. Entitled parents who protect their children regardless of their bad behavior.
恐龍法官,1,Dinosaur judges. Judges whose rulings are seen as out of touch with social reality.
吃相難看,1,Ugly eating posture. Metaphor for someone being greedy for power or money.
沒圖沒真相,1,"No picture, no truth. Classic PTT demand for proof, often used in NSFW contexts."
五樓請給分,1,"5th floor, please give a score. PTT culture where the 5th commenter is expected to be witty or perverted."
五樓魯蛇,1,5th floor is a Loser (Lu-she). Standard PTT self-mockery.
給開司一罐啤酒,1,Reference to 'Kaiji' manga. Used when someone is suffering or in a 'hellish' situation.
這就尷尬了,1,Used to mock someone whose lie was just exposed.
笑死,1,Laugh to death. Often used sarcastically in Taiwan to dismiss someone's argument.
你在大聲什麼啦,1,Reference to a famous viral video of a motorcycle mechanic. Used to mock aggressive people.
傑哥不要,1,Reference to an anti-sexual assault PSA. Now used as a meme for forced situations.
我看你是不懂喔,1,Follow-up to the 'Jie-ge' meme. Implies someone is naive about a dark reality.
我就爛,1,I'm just trash. A popular meme for self-acceptance of failure.
好了啦，超大杯,1,"That's enough (Hǎo le la). 'Super large cup' is a local drink size, used to tell trolls to shut up."
咩修敢尼,1,Hokkien 'Beh sio-kàn--bô?' (Want to have sex?). Masked by Mandarin characters '咩修敢尼'.
意淫,1,Mental masturbation. Used to describe people fantasizing about celebrities or politicians.
可悲台男,1,Pathetic Taiwanese Man. A standard insult in gender-war threads.
台女不意外,1,"Taiwanese women don't surprise me. Used when a woman does something seen as stereotypical (e.g., gold-digging)."
CCR / 崇洋媚外,1,Cross-Cultural Romance. Used toxicly to mock Taiwanese women who date Western men.
西餐妹,1,Western food girl. A derogatory term for Taiwanese women who prefer dating foreigners.
母豬賽高,1,Sarcastic 'Sow is the best'. Used in 'Mother Sow religion' threads to mock women.
8+9,1,Phonetic for 'Pa-ka-chiu' (Hokkien for Eight Generals). Refers to temple-fair hoodlums/delinquents.
洗勒哈囉,1,Hokkien 'Si-leh' (What are you doing?) + 'Hello'. A hybrid of Hokkien and English-Mandarin.
你很會喔,1,You're quite good at this. Usually used sarcastically to call out a smart-ass.
懶覺比雞腿,1,Comparing a penis (Hokkien 'Lán-chiâu') to a chicken drumstick. Implies a ridiculous comparison.
三小啦,1,What the f***? (Hokkien 'Sann-sió'). Extremely common in informal Taiwanese speech.
靠北,1,Hokkien 'Khàu-pē' (Crying for one's dead father). Used as 'Complaining' or 'Shut up!'
靠腰,1,"Hokkien 'Khàu-iáu' (Hungry ghost crying). A milder version of '靠北', used as 'Holy crap' or 'Shut up'."
哩甲賽啦,1,Hokkien 'Lí chia̍h-sái--la' (Go eat shit).
北七,1,Hokkien 'Pe̍h-chhi' (Idiot/White idiot). Commonly used in Mandarin sentences.
白目,1,Hokkien 'Pe̍h-ba̍k' (White eyes). Describes someone who lacks situational awareness or is being a jerk.
眼殘,1,Eye disabled. Used when someone fails to see something obvious.
腦殘,1,Brain disabled. Common insult for illogical people.
廢物,1,Trash/Useless. A common toxic label for opponents.
魯蛇,1,Phonetic for 'Loser'. 'Lǔ shé' (Salted snake).
溫拿,1,Phonetic for 'Winner'. 'Wēn ná'.
